nospo_rouge1_P,nospo_rouge1_R,nospo_rouge1_F1
1.0,0.8727272727272727,0.93203882997455
0.9111111111111111,0.6833333333333333,0.7809523760544218
0.96,0.7384615384615385,0.8347826037807184
0.8679245283018868,0.6865671641791045,0.7666666617347222
0.9692307692307692,0.8076923076923077,0.8811188761602036
0.967741935483871,0.6818181818181818,0.7999999951502224
0.9743589743589743,0.6909090909090909,0.8085106334427343
0.9230769230769231,0.7272727272727273,0.8135593171042804
0.9642857142857143,0.7714285714285715,0.8571428522045856
0.9622641509433962,0.796875,0.8717948668390678
0.9166666666666666,0.7586206896551724,0.8301886742897828
0.9743589743589743,0.8085106382978723,0.8837209252758248
0.9795918367346939,0.8135593220338984,0.8888888839317559
0.9444444444444444,0.6938775510204082,0.7999999951169551
1.0,0.78125,0.8771929775315482
0.96,0.5106382978723404,0.6666666621334877
1.0,0.7166666666666667,0.8349514514468848
0.9375,0.703125,0.8035714236734695
0.9705882352941176,0.7857142857142857,0.8684210476869806
0.9318181818181818,0.6833333333333333,0.7884615335798817
0.9354838709677419,0.7341772151898734,0.8226950305336754
1.0,0.8414634146341463,0.9139072798052718
0.9591836734693877,0.7580645161290323,0.8468468419154289
0.9827586206896551,0.8260869565217391,0.8976377903131006
0.9387755102040817,0.6865671641791045,0.7931034433962546
1.0,0.8888888888888888,0.9411764656055364
1.0,0.8103448275862069,0.8952380902929705
1.0,0.9183673469387755,0.9574468035196922
0.90625,0.6987951807228916,0.7891156413420335
0.94,0.8545454545454545,0.895238090249433
0.9591836734693877,0.7580645161290323,0.8468468419154289
0.9215686274509803,0.7580645161290323,0.8318584021270264
0.9574468085106383,0.703125,0.8108108059280902
0.9310344827586207,0.6923076923076923,0.794117642166955
0.8723404255319149,0.7454545454545455,0.8039215636582084
0.9032258064516129,0.7,0.7887323894465385
0.8461538461538461,0.5789473684210527,0.6874999951757813
1.0,0.8985507246376812,0.9465648805104598
0.9032258064516129,0.5714285714285714,0.6999999952531252
